OGC_FID,status,licensetype,issuedate,premisesaddress,x,y,business
965,ACTIVE,47,1998-12-29T,"2391 SAN DIEGO AVE, SAN DIEGO, CA  92110",6271709.59174,1854483.29957,Jack & Guilios Italian Restaurant
966,ACTIVE,47,1998-12-01T,"2485 VISTA WY, OCEANSIDE, CA  92054-6168",6230617.28341,2012177.19753,Outback Steakhouse
967,ACTIVE,47,1999-02-11T,"3831 & 3833 PARK BLVD, SAN DIEGO, CA  92103",6284957.745,1845339.79,Cafe On Park
968,ACTIVE,41,1998-11-04T,"3945 & 3947 GOVERNOR DR, SAN DIEGO, CA  92122",6265670.204,1890702.874,Lornas Italian Kitchen
969,ACTIVE,20,1998-12-02T,"1727 SWEETWATER RD, STE A, NATIONAL CITY, CA  91950",6305971.06193,1821164.16667,Kyoto Gift & Food
970,ACTIVE,21,1998-12-29T,"315 W WASHINGTON AVE, ESCONDIDO, CA  92025",6305043.49575,1990137.551,Rite Aid 5628
971,ACTIVE,48,1998-11-09T,"3811 & 3817 PARK BLVD, SAN DIEGO, CA  92103",6284957.745,1845339.79,Numbers
972,ACTIVE,48,1998-12-07T,"7662-64 BROADWAY, LEMON GROVE, CA  91945",6323254.688,1851019.014,Dirks Niteclub
973,ACTIVE,41,1999-04-21T,"700 E ST, CHULA VISTA, CA  91910",6300708.31158,1813645.74074,Aunt Emmas
974,ACTIVE,51,1998-12-03T,"659 SILVER STRAND BLVD, IMPERIAL BEACH, CA  91932",6291232.65762,1793681.52106,Fra Club 289
975,ACTIVE,41,1998-11-20T,"9824 N MAGNOLIA AVE, SANTEE, CA  92071",6340236.13793,1892092.34483,Round Table Pizza
976,ACTIVE,41,1998-11-24T,"5647 BALBOA AVE, SAN DIEGO, CA  92111",6276015.12835,1879201.30225,Mr Fish & Chips
977,ACTIVE,41,1999-01-21T,"419 PARKWAY PLZ, EL CAJON, CA  92020",6317641.616,1862140.252,Rubios Fresh Mexican Grill 67
978,ACTIVE,21,1998-12-24T,"14225 POWAY RD, POWAY, CA  92064",6324428.05359,1928720.75878,7 Eleven 2111 26182
979,ACTIVE,41,1999-05-07T,"4201 OCEANSIDE BLVD, STE B, OCEANSIDE, CA  92056",6245307.87265,2020425.82099,Rubios Fresh Mexican Grill 63
980,ACTIVE,21,1999-03-01T,"4304 ORANGE AVE, SAN DIEGO, CA  92105",6299841.53484,1855067.21041,Kano Foods
981,ACTIVE,41,1999-01-04T,"2171 SAN ELIJO AVE, ENCINITAS, CA  92007",6245470.5461,1952454.69606,Trattoria Positano
982,ACTIVE,47,1998-12-31T,"5255 KEARNY VILLA RD, SAN DIEGO, CA  92123",6288015.37927,1882916.88792,Butcher Shop Restaurant
983,ACTIVE,48,1999-01-04T,"10436 CLAIREMONT MESA BLVD, SAN DIEGO, CA  92124-1320",6299234.95381,1882911.1238,Jps Pub
984,ACTIVE,21,1999-01-07T,"1868 GRAND AVE, SAN DIEGO, CA  92109",6258949.7239,1872030.8263,Grand Liquor
985,ACTIVE,41,1999-01-29T,"1033 S SANTA FE AVE, VISTA, CA  92083",6261999.70697,2014694.60956,El Rinconcito Seafood Mexican Restaurant
986,ACTIVE,21,1999-01-19T,"4383 CONVOY ST, SAN DIEGO, CA  92111",6283799.68032,1879115.00976,Convoy Liquor
987,ACTIVE,41,1999-03-24T,"3545 DEL MAR HEIGHTS RD, BLDG C STE C1 & C2, SAN DIEGO, CA  92130",6260914.64943,1928353.94444,Rubios Fresh Mexican Grill 85
988,ACTIVE,20,1999-02-24T,"356 VISTA VILLAGE DR, VISTA, CA  92083",6256708.83725,2018128.12233,Rodeos Meat Market
989,ACTIVE,20,1999-02-08T,"2638 IMPERIAL AVE, SAN DIEGO, CA  92102",6288655.78226,1838066.60026,Arrow Market
990,ACTIVE,20,1999-03-04T,"2191 VISTA WAY, OCEANSIDE, CA  92054",6227867.10995,2011958.36727,Rowley Chevron
991,ACTIVE,47,1999-03-22T,"3893 54TH ST, SAN DIEGO, CA  92105",6307103.80068,1852643.67215,Lucky Star Seafood Restaurant
992,ACTIVE,47,1999-06-10T,"658 5TH AVE, SAN DIEGO, CA  92101",6304467.834,1985558.905,Il Palio Restaurant
993,ACTIVE,21,1999-03-04T,"5270 BALBOA AVE, SAN DIEGO, CA  92117",6275068.45446,1879383.09198,Rite Aid 5653
994,ACTIVE,21,1999-03-04T,"6405 EL CAJON BLVD, SAN DIEGO, CA  92115",6312610.43215,1858948.81317,Rite Aid 5651
995,SUREND,47,1999-06-08T,"600 5TH AVE, SAN DIEGO, CA  92101",6304467.834,1985558.905,Whiskey Girl
996,ACTIVE,41,1999-06-01T,"1279 E MAIN ST, EL CAJON, CA  92021",6350362.5,1869454.24691,Ponchos Taco Shop
997,ACTIVE,21,1999-03-12T,"1626 E 8TH ST, NATIONAL CITY, CA  91950",-1,-1,Kings Liquor
998,ACTIVE,48,1999-04-12T,"7459 & 7461 MISSION GORGE RD, SAN DIEGO, CA  92120",6316501.185,1878185.247,Library Tavern The
999,ACTIVE,54,1999-03-16T,"1050 N HARBOR DR, SAN DIEGO, CA  92101",6277545.76198,1841805.2067,Flagship Cruises And Events California Princess
1000,ACTIVE,20,1999-04-21T,"199 BROADWAY, CHULA VISTA, CA  91910",6302040.14574,1814360.1395,Nabi Hasani
1001,ACTIVE,21,1999-04-07T,"5037 SHAWLINE ST, SAN DIEGO, CA  92111",6281175.9954,1884209.81393,Beer King Inc
1002,ACTIVE,20,1999-04-21T,"471 C ST M5, CHULA VISTA, CA  91910",6302838.6855,1817739.986,Panacea
1003,ACTIVE,41,1999-04-05T,"4705 D CLAIREMONT DR, SAN DIEGO, CA  92117",-1,-1,Dinos Gyros Inc
1004,ACTIVE,41,1999-06-18T,"10785 SCRIPPS POWAY PKWY, SAN DIEGO, CA  92131",-1,-1,Rubios Fresh Mexican Grill 77
1005,ACTIVE,41,1999-03-26T,"866 3RD AVE, CHULA VISTA, CA  91911",-1,-1,Hungry Hanks Deli
1006,ACTIVE,21,1999-04-05T,"677 H ST, CHULA VISTA, CA  91910",6302309.75077,1810236.25111,Keg N Bottle Liquor
1007,ACTIVE,47,1999-05-07T,"660 K ST, SAN DIEGO, CA  92101",6282130.90859,1838820.17284,San Diego Marriott Gaslamp Quarter
1008,ACTIVE,47,1999-04-27T,"258 HARBOR DR S, OCEANSIDE, CA  92054",6212546.0005,2019485.18675,Rockin Baja Lobster Coastal Cantina
1009,ACTIVE,21,1999-05-10T,"398 N EL CAMINO REAL, ENCINITAS, CA  92024",6261019.797,1936914.786,Farr Better Spirits
1010,ACTIVE,41,1999-09-28T,"1158 W SAN MARCOS BLVD, STE 101, SAN MARCOS, CA  92078",6273642.80195,1994116.45617,Rubios Fresh Mexican Grill 64
1011,ACTIVE,41,1999-05-20T,"4646 CONVOY ST, STE 116, SAN DIEGO, CA  92111",6283429.08673,1881143.56329,Tofu House Inc
1012,ACTIVE,42,1999-07-06T,"3412 UNIVERSITY AVE, SAN DIEGO, CA  92104",6294123.62456,1853794.79824,El Uno Bar
1013,ACTIVE,47,1999-10-22T,"3202 VISTA WAY, OCEANSIDE, CA  92056",6232946.99896,2014108.6897,El Camino Country Club
1014,ACTIVE,47,1999-10-29T,"925 SAN PASQUAL RD, ESCONDIDO, CA  92025",6316143.64722,1971463.51988,Vineyard At Escondido
1015,ACTIVE,41,1999-06-01T,"3904 CONVOY ST, 121 & 122, SAN DIEGO, CA  92111",6283758.83561,1877444.38991,Sakura
1016,ACTIVE,21,1999-05-04T,"545 E MAIN ST, EL CAJON, CA  92020",6344920.65971,1869946.35806,Fair Valley Liquor
1017,ACTIVE,20,1999-06-29T,"3861 VALLEY CENTRE DR, SAN DIEGO, CA  92130-2332",6260688.8378,1922228.87802,Shell Car Wash & Express At Carmel Valley
1018,ACTIVE,47,1999-05-11T,"535 UNIVERSITY AVE, SAN DIEGO, CA  92103-3117",6281907.37477,1853173.40651,City Delicatessen
1019,ACTIVE,41,1999-05-18T,"1627 E VALLEY PKWY, ESCONDIDO, CA  92027",6302423.712,2003854.192,Sorrentinos Pizza & More
1020,ACTIVE,21,1999-05-25T,"10497 SAN DIEGO MISSION RD, SAN DIEGO, CA  92108",6296990.7813,1866327.56629,Vics La Fiesta Liquors
1021,ACTIVE,41,1999-08-16T,"10785 SCRIPPS POWAY PKWY, STE A, SAN DIEGO, CA  92131",-1,-1,Sammys Woodfired Pizza
1022,ACTIVE,47,1999-08-11T,"1549 EL PRADO, SAN DIEGO, CA  92101",6284927.51406,1847110,Prado The
1023,ACTIVE,47,1999-06-04T,"1280 FLETCHER PKWY, EL CAJON, CA  92020",6551125.092,2013932.462,Parkway Family Billiards
1024,SUREND,20,1999-09-02T,"9932 MESA RIM RD, SAN DIEGO, CA  92121-3930",6276476.87152,1908070.24886,Behind The Scenes
1025,ACTIVE,47,1999-08-27T,"555 W ASH ST, SAN DIEGO, CA  92101",6279368.2065,1842850.41667,Best Western Bayside Inn
1026,ACTIVE,21,1999-06-23T,"360 E H ST, CHULA VISTA, CA  91910",6315042.17562,1813464.37207,Vons 2336
1027,ACTIVE,20,1999-06-08T,"5202 EL CAJON BLVD, SAN DIEGO, CA  92115",6305469.65559,1856437.18896,7 Eleven 2121 13659
1028,ACTIVE,20,1999-08-16T,"12890 RANCHO PENASQUITOS BLVD, SAN DIEGO, CA  92129",6298479.18786,1926949.25674,7 Eleven 2111 20170
1029,ACTIVE,41,1999-08-03T,"501 UNIVERSITY AVE, SAN DIEGO, CA  92103",6281808.5,1853196.6358,Nami
1030,ACTIVE,47,1999-09-10T,"4340 LA JOLLA VILLAGE DR, SAN DIEGO, CA  92122",6266175.0438,1898966.81604,Donovans Steak & Chop House
1031,SUREND,47,2001-03-26T,"531 F ST, SAN DIEGO, CA  92101-6308",6281901.90842,1840580.64887,Kiyos Japanese Restaurant
1032,ACTIVE,21,1999-07-12T,"861 E MAIN ST, EL CAJON, CA  92020-4013",6346137.81505,1869577.93907,Main Street Liquor
1033,ACTIVE,47,1999-08-13T,"2328 S ESCONDIDO BLVD, ESCONDIDO, CA  92025-7028",6310134.96881,1978522.71488,Sunset Lounge
1034,ACTIVE,41,1999-07-23T,"11640 CARMEL MOUNTAIN RD, STE 124, SAN DIEGO, CA  92128-4628",6306957.4597,1937702.70523,Athens Market Cafe
1035,ACTIVE,20,1999-08-20T,"3655 OCEAN VIEW BLVD, STE A, SAN DIEGO, CA  92113",6295492.5,1835951.80247,Giovannis Market
1036,ACTIVE,21,2000-02-14T,"4370 PALM AVE, STE U, SAN DIEGO, CA  92154",6326353.60416,1856399.00679,Palm Ridge Liquor
1037,ACTIVE,70,1999-09-07T,"2000 FARADAY AVE, CARLSBAD, CA  92008",6244789.02481,1994319.42869,Residence Inn By Marriott
1038,ACTIVE,41,1999-08-10T,"1464 ENCINITAS BLVD, ENCINITAS, CA  92024",6252915.88042,1961679.90793,Betys Tacos
1039,ACTIVE,42,1999-08-20T,"606 WASHINGTON ST, SAN DIEGO, CA  92103",6281892.92643,1853653.2509,Sommerset Suites Hotel
1040,SUREND,20,2000-07-12T,"1120 W 15TH AVE, ESCONDIDO, CA  92025",6305395.32889,1981849.17805,Ferrara Winery
1041,SUREND,47,1999-10-28T,"615 BROADWAY, 1ST FLR & BASEMENT, SAN DIEGO, CA  92101",6282134.05779,1841299.50729,On Broadway Event Center Llc
1042,ACTIVE,41,1999-08-26T,"1846-48 GARNET AVE, SAN DIEGO, CA  92109",6261659.425,1873391.376,Cafe Athena
1043,ACTIVE,75,1999-11-29T,"5801-5803-5805 ARMADA DR, CARLSBAD, CA  92008",-1,-1,Karl Strauss Brewery And Grill
1044,ACTIVE,21,1999-10-14T,"13589 POWAY RD, POWAY, CA  92064",6320250.06439,1928793.37218,Stater Bros Markets 162
1045,ACTIVE,21,1999-10-14T,"1048 N EL CAMINO REAL, ENCINITAS, CA  92024",6261019.797,1936914.786,Stater Bros Markets 158
1046,ACTIVE,21,1999-10-14T,"635 N BROADWAY, ESCONDIDO, CA  92025",6305802.87372,1991047.02189,Stater Bros Markets 140
1047,ACTIVE,41,2000-02-04T,"2035 S COAST HWY, OCEANSIDE, CA  92054-6534",6249675.58503,1932970.06592,Angelos
1048,ACTIVE,21,1999-10-14T,"1451 N SANTA FE AVE, VISTA, CA  92084",6257493.55702,2024418.5733,Stater Bros Markets 157
1049,ACTIVE,21,1999-10-14T,"2170 VISTA WY, OCEANSIDE, CA  92054",6227553.57442,2011786.05321,Stater Bros Markets 151
1050,ACTIVE,20,1999-12-15T,"11095 CARMEL MOUNTAIN RD, SAN DIEGO, CA  92129",6304038.52999,1936325.80002,Caramel Mountain Chevron
1051,ACTIVE,20,1999-12-15T,"12295 SCRIPPS POWAY PKWY, POWAY, CA  92064",-1,-1,Chevron Gas Station & Market
1052,ACTIVE,21,1999-10-14T,"9909 CARMEL MOUNTAIN RD, SAN DIEGO, CA  92129",6296538.30701,1930461.25262,Stater Bros Markets 167
1053,ACTIVE,47,2000-01-21T,"1409 C ST, SAN DIEGO, CA  92101",6284329.22,1841727.651,To The Top Inc
1054,ACTIVE,21,1999-10-14T,"3770 MISSION AVE, OCEANSIDE, CA  92054",6230264.61718,2027487.57578,Stater Bros Markets 150
1055,ACTIVE,21,1999-10-14T,"133O E MISSION RD, SAN MARCOS, CA  92069",6282459.80899,1996713.95506,Stater Bros Markets 152
1056,ACTIVE,21,1999-10-14T,"780 SYCAMORE AVE, VISTA, CA  92083",6265458.08163,2004359.71429,Stater Bros Markets 156
1057,SUREND,21,2000-02-07T,"11828 RANCHO BERNARDO RD, STE 108 & 109, SAN DIEGO, CA  92128-1910",6308584.25034,1953191.62168,Barons Wine Tasting Bar
1058,ACTIVE,41,2000-07-14T,"3628 5TH AVE, SAN DIEGO, CA  92103",6304467.834,1985558.905,Hash House A Go Go
1059,ACTIVE,41,1999-08-17T,"8650 GENESEE AVE, STE 236, SAN DIEGO, CA  92122",6265387.51936,1896866.9141,Sammys Woodfired Pizza
1060,ACTIVE,41,1999-08-17T,"770 4TH AVE, SAN DIEGO, CA  92101",-1,-1,Sammys Woodfired Pizza
1061,ACTIVE,20,1999-08-20T,"8395 OTAY MESA RD, SAN DIEGO, CA  92154",6341990.08684,1786880.06754,7 Eleven 2131 32290
1062,ACTIVE,20,1999-09-14T,"3436 ADAMS AVE, SAN DIEGO, CA  92116",6294472.29639,1858718.74745,7 Eleven 2121 21790
1063,ACTIVE,47,1999-09-07T,"5500 GROSSMONT CENTER DR, BLDG M1, LA MESA, CA  91942",6327665.14183,1863681.82751,Bjs Restaurant & Brewhouse
1064,ACTIVE,47,1999-11-08T,"373 3RD AVE, CHULA VISTA, CA  91910-3927",-1,-1,La Bella Pizza Garden
1065,ACTIVE,45,1999-09-07T,"2838 GARRISON ST, SAN DIEGO, CA  92106-2720",6261042.57217,1845099.39197,Royal Star  Sportfishing
1066,ACTIVE,48,2000-06-29T,"390 GRAND AVE, CARLSBAD, CA  92008-2925",6224683.74183,2003702.38919,Boars Crossn
1067,ACTIVE,41,2000-02-08T,"1851 W VISTA WY, STE C, VISTA, CA  92083",6246336.505,2014004.5545,Erikas Restaurant
1068,ACTIVE,41,1999-08-16T,"6062 LAKE MURRAY BLVD, STE 204, LA MESA, CA  91942",6324259.67182,1867942.84385,Rosarito Mexican Food
1069,ACTIVE,41,1999-09-15T,"11885 CARMEL MOUNTAIN RD, STE 901, SAN DIEGO, CA  92128",6308584.4112,1937884.91649,Greek Corner Cafe
1070,ACTIVE,20,1999-09-20T,"2509 CORONADO AVE, STE A, SAN DIEGO, CA  92154",6257811.251,1847702.295,7 Eleven 2131 29370
1071,SUREND,48,1999-09-17T,"1403 ROSECRANS ST, SAN DIEGO, CA  92106-2238",6260580.85668,1845109.48168,Captains Quarters
1072,ACTIVE,47,1999-11-17T,"264 CARLSBAD VILLAGE DR, CARLSBAD, CA  92008",6224481.96584,2002927.23019,Fresco Trettoria & Bar
1073,ACTIVE,21,1999-12-03T,"4602 PARK BLVD, SAN DIEGO, CA  92116",6286023.5,1857908.52469,Summers Market Liquor & Deli
1074,ACTIVE,21,1999-09-07T,"2289 IMPERIAL AVE, SAN DIEGO, CA  92102",6287046,1837834.14316,Bottle & Basket
1075,ACTIVE,21,1999-09-30T,"151 BROADWAY, CHULA VISTA, CA  91910",6301910.08487,1814763.92259,Broadway Liquor
1076,ACTIVE,47,1999-12-02T,"2220 OTAY LAKES RD, STES 505 & 506, CHULA VISTA, CA  91915",6340469.77455,1815951.88251,Alejandros Mexican Bar & Grill
1077,ACTIVE,47,2000-01-10T,"2000 2ND ST, CORONADO, CA  92118",-1,-1,Coronado Island Marriott Resort
1078,ACTIVE,41,1999-10-29T,"306 BROADWAY, EL CAJON, CA  92021",6343853.00093,1874649.28171,Pizza Hut
1079,ACTIVE,21,2000-01-13T,"3040-42 MIDWAY DR, SAN DIEGO, CA  92110",6269194.506,1852766.101,Midway Wine & Spirits
1080,ACTIVE,41,1999-11-01T,"879 W HARBOR DR, STE F, SAN DIEGO, CA  92101",6278065.17697,1838978.83951,Marions Fish Market
1081,ACTIVE,41,1999-11-29T,"830 S COAST HIGHWAY 101, STE A1, ENCINITAS, CA  92024",6241885.09838,1960288.37646,Trattoria I Trulli
1082,ACTIVE,47,2000-04-28T,"10789 WESTVIEW PKWY, SAN DIEGO, CA  92126",6323263.536,1857884.089,On The Border Mexican Cafe
1083,ACTIVE,20,1999-10-19T,"3251 BUSINESS PARK DR, VISTA, CA  92081",6262116.51039,1993406.23923,7 Eleven 2111 32326
1084,ACTIVE,48,1999-12-06T,"1808 W WASHINGTON ST, SAN DIEGO, CA  92103-3734",6275216.75882,1851548.43779,Bar Dynamite
1085,ACTIVE,41,1999-10-27T,"3600 FAIRMOUNT AVE A, SAN DIEGO, CA  92105",6299918.41123,1851632.75926,Mariscos El Titanic
1086,ACTIVE,47,1999-12-03T,"7067 FRIARS RD, SAN DIEGO, CA  92108",6279928.99084,1860326.07628,Cheesecake Factory The
1087,ACTIVE,41,1999-11-24T,"4545 LA JOLLA VILLAGE DR E10, SAN DIEGO, CA  92122",6266744.48238,1898254.34721,Rubios Fresh Mexican Grill 129
1088,ACTIVE,47,2000-02-02T,"823 5TH AVE, SAN DIEGO, CA  92101",6304467.834,1985558.905,Grape The
1089,ACTIVE,47,1999-12-15T,"10450 FRIARS RD, STE L-N & P, SAN DIEGO, CA  92120",6300793.10198,1869108.31481,San Diego Brewing Co
1090,ACTIVE,47,2000-04-17T,"5610 PASEO DEL NORTE, STE 100W, CARLSBAD, CA  92008",6233082.76536,1991629.69097,Bellefleur Winery & Restaurant
1091,ACTIVE,41,1999-11-01T,"3055 HARDING ST, CARLSBAD, CA  92008",6226758.654,2004035.09423,Pollos Maria Inc
1092,ACTIVE,21,2000-01-14T,"4150 MISSION BLVD, STE 117, SAN DIEGO, CA  92109",6253204.80114,1870370.1643,Palm Liquor
1093,ACTIVE,47,2000-04-27T,"8515 COSTA VERDE BLVD 21ST FL, 21ST FL, SAN DIEGO, CA  92122",6264942.94523,1897089.59111,Vi At La Jolla Village
1094,ACTIVE,41,1999-12-17T,"6990 EL CAMINO REAL, STE K, CARLSBAD, CA  92009",6261019.797,1936914.786,Peking Garden Restaurant
1095,ACTIVE,21,2000-03-31T,"1300 IMPERIAL BEACH BLVD, IMPERIAL BEACH, CA  91932",6298147.11159,1790728.19339,Imperial Beach Ultra Mar
1096,ACTIVE,48,1999-11-02T,"125 W GRAND AVE, ESCONDIDO, CA  92025",6306973.59678,1988709.17119,Pounders Sports Pub
1097,ACTIVE,20,2000-01-10T,"9790 MIRAMAR RD, SAN DIEGO, CA  92126-4529",6295009.78087,1906237.94805,Miramar Mobil
1098,ACTIVE,47,1999-12-06T,"12511 POWAY RD, STE A, POWAY, CA  92064",6313323.68949,1927070.15875,Lienzo Charro
1099,ACTIVE,75,2000-06-07T,"5010 MISSION CENTER RD, SAN DIEGO, CA  92108",6283729.95809,1860076.36296,Gordon Biersch Brewery Restaurant
1100,ACTIVE,21,1999-12-15T,"1284 N ESCONDIDO BLVD, ESCONDIDO, CA  92026",6303657.66288,1995044.01132,El Norte Liquor
1101,ACTIVE,20,2000-01-27T,"2580 INGRAHAM ST, STE A, SAN DIEGO, CA  92109",6258825.97233,1860783.33951,Dana Landing Market
1102,ACTIVE,20,2000-02-07T,"5706 MIRAMAR RD, SAN DIEGO, CA  92121",6274318.08001,1900338.68172,Miramar Autoport 76
1103,ACTIVE,20,1999-12-29T,"2920 ADRIAN ST, SAN DIEGO, CA  92110",6261359.68191,1854823.6896,7 Eleven Store 2121 13642
1104,ACTIVE,86,2000-01-21T,"6336 COLLEGE GROVE WY, SAN DIEGO, CA  92115",6313351.77723,1848770.8373,Sams Club 6235
1105,ACTIVE,21,2000-01-27T,"1356 W VALLEY PKWY, STE A19, ESCONDIDO, CA  92029-2138",6314677.923,1979072.657,Valley Market
1106,ACTIVE,47,2000-05-26T,"7077 FRIARS RD, SAN DIEGO, CA  92108",6279928.99084,1860326.07628,P F Changs
1107,ACTIVE,48,2000-01-07T,"8515 NAVAJO RD, SAN DIEGO, CA  92119",6327263.39921,1872690.61888,Second Wind Navajo
1108,ACTIVE,48,2000-01-07T,"1723 EUCLID AVE, SAN DIEGO, CA  92105",6305296.24576,1843839.2716,Round Table Cocktail Lounge
1109,ACTIVE,48,2000-01-28T,"6608 MISSION GORGE RD, SAN DIEGO, CA  92120",6301000.3648,1869478.98568,Blue Agave Nightclub
1110,ACTIVE,47,2000-02-18T,"7748 REGENTS RD, STE 303, SAN DIEGO, CA  92122",6262765.39991,1894733.46057,Leucadia Pizzeria
1111,ACTIVE,20,2000-01-19T,"655 E LINCOLN AVE, ESCONDIDO, CA  92026",6307793.94783,1993899.89133,Qwik Korner 29
1112,ACTIVE,40,2000-03-28T,"3717 INDIA ST, SAN DIEGO, CA  92103",6275545.03813,1851359.15326,National Comedy Theatre
1113,ACTIVE,41,2000-03-10T,"3406 COLLEGE AVE, SAN DIEGO, CA  92115",6312978.847,1852241.459,Rubios Fresh Mexican Grill 102
1114,ACTIVE,41,2000-03-27T,"10732 WESTVIEW PKWY, SAN DIEGO, CA  92126",6323263.536,1857884.089,Rubios Fresh Mexican Grill 134
1115,ACTIVE,20,2000-01-28T,"415 TELEGRAPH CANYON RD, CHULA VISTA, CA  91910",6316658.08081,1809587.68519,7 Eleven 2131 13568
1116,ACTIVE,41,2000-03-30T,"419 F ST, SAN DIEGO, CA  92101",6281518.64358,1840559.51399,Cafe Lulu
1117,ACTIVE,41,2000-05-01T,"8895 TOWNE CENTRE DR, STE 100A, SAN DIEGO, CA  92122",6268084.01987,1896753.08894,Edo Japanese Restaurant
1118,ACTIVE,20,2000-01-25T,"1643 WILSON AVE, NATIONAL CITY, CA  91950",6297371.78242,1823524.30864,Arido Market
1119,ACTIVE,48,2000-03-10T,"3008 MAIN ST, CHULA VISTA, CA  91911",6309489.61276,1797295.50629,Over The Border
1120,ACTIVE,21,2000-01-06T,"1122 S ESCONDIDO BLVD, ESCONDIDO, CA  92025",6308500.74385,1984903.61335,Sunrise Market & Liquor
1121,ACTIVE,48,2000-04-19T,"2236 FERN ST, SAN DIEGO, CA  92104",6291104.27114,1846284.66208,Whistle Stop Bar
1122,ACTIVE,20,2000-03-08T,"759 JAMACHA RD, EL CAJON, CA  92019",6353430.14944,1866278.29418,Harvest Ranch Market 1
1123,ACTIVE,21,2000-03-13T,"162 S RANCHO SANTA FE RD, STE E 50, ENCINITAS, CA  92024",6258732.068,1958144.87275,Harvest Ranch Market 2
1124,ACTIVE,20,2000-08-16T,"561-571 CARLSBAD VILLAGE DR, CARLSBAD, CA  92008",6236308.374,2007739.482,Pizza Port & Brewing Company
1125,ACTIVE,47,2000-03-08T,"4000 CORONADO BAY RD, CORONADO, CA  92118",6288226.79657,1810234.95076,Loews Coronado Bay Resort
1126,ACTIVE,20,2000-03-23T,"4605 BORDER VILLAGE RD, SAN DIEGO, CA  92173",6319240.9955,1780047.79924,Inter Duty Free Services Inc
1127,ACTIVE,47,2000-06-07T,"618-22 FIFTH AVE, SAN DIEGO, CA  92101",-1,-1,Henrys Pub
1128,ACTIVE,20,2000-04-27T,"9750 CUYAMACA ST, SANTEE, CA  92071",6336527.001,1891706,7 Eleven 2121 20321
1129,ACTIVE,41,2000-03-24T,"16719 BERNARDO CENTER DR, # A, SAN DIEGO, CA  92128",6308707.70028,1950920.02283,Pegasus Cafe
1130,ACTIVE,47,2000-03-13T,"10788 WESTVIEW PKWY, SAN DIEGO, CA  92126-2962",6323263.536,1857884.089,Mimis Cafe
1131,ACTIVE,21,2000-03-06T,"2040 HARBOR ISLAND DR, STE 1B, SAN DIEGO, CA  92101",6266077.6409,1845264.91947,Harbor Island Liquor & Deli
1132,ACTIVE,20,2000-03-06T,"1446 ENCINITAS BLVD, ENCINITAS, CA  92024",6252995.30866,1962024.74074,7 Eleven 2111 17475
1133,ACTIVE,21,2000-03-20T,"3206 MISSION BLVD, SAN DIEGO, CA  92109",6253845.87914,1862231.78687,Coast Market
1134,ACTIVE,20,2000-12-22T,"16757 BERNARDO CENTER DR, SAN DIEGO, CA  92128",6309169.01692,1951338.72562,Rancho Bernardo Car Wash
1135,ACTIVE,41,2000-04-27T,"11828 RANCHO BERNARDO RD, STE 104, SAN DIEGO, CA  92128",6308584.25034,1953191.62168,Incredible Cafe
1136,ACTIVE,47,2000-05-05T,"2550 5TH AVE, STE 1200, SAN DIEGO, CA  92103",6303761.282,1984958.165,Bertrand At Mister As
1137,ACTIVE,47,2000-03-20T,"162 S RANCHO SANTA FE RD, STE G10, ENCINITAS, CA  92024",6258732.068,1958144.87275,Firenze Trattoria
1138,ACTIVE,41,2000-06-07T,"600 E VISTA WY, VISTA, CA  92084",6259758.64492,2020043.19879,Chins Szechwan
1139,ACTIVE,20,2000-04-17T,"8888 N MAGNOLIA AVE, SANTEE, CA  92071",6341267.844,1885384.995,Chevron 91408
1140,ACTIVE,21,2000-04-27T,"3602 MEADE AVE, SAN DIEGO, CA  92116",6295730.04682,1856440.79756,Twins Liquor
1141,ACTIVE,63,2000-05-24T,"2855 CARLSBAD BLVD, CARLSBAD, CA  92008",6240488.75625,2018100.50396,Carlsbad By The Sea Retirement Community
1142,ACTIVE,21,2000-04-04T,"5004 NEWPORT AVE, SAN DIEGO, CA  92107",6253887.1638,1853143.16377,Newport Farms Market
1143,ACTIVE,21,2000-04-06T,"890 N SANTA FE AVE, VISTA, CA  92083",6257363.39404,2021968.04543,Royal Liquor
1144,ACTIVE,48,2000-03-17T,"4077 & 4079 ADAMS AVE, SAN DIEGO, CA  92116",6291989.268,1858590.079,Kensington Club
1145,ACTIVE,21,2000-05-11T,"4815 EL CAJON BLVD, SAN DIEGO, CA  92115",6303160.62774,1855879.81545,Discount Liquor
1146,SUREND,20,2000-07-10T,"6110 MISSION GORGE RD, SAN DIEGO, CA  92120-3402",6301008.14811,1866577.18008,Mission Gorge Arco
1147,ACTIVE,47,2000-03-22T,"748 5TH AVE, SAN DIEGO, CA  92101",6304467.834,1985558.905,Hopping Pig Restaurant & Bar The
1148,ACTIVE,21,2000-04-17T,"13150 OLD WINERY RD, STE A, POWAY, CA  92064",6317945.8312,1956341.15019,Bernardo Winery
1149,ACTIVE,47,2000-04-18T,"728 5TH AVE, SAN DIEGO, CA  92101",6304467.834,1985558.905,Asti Ristorante
1150,ACTIVE,41,2000-07-05T,"252-5 N EL CAMINO REAL, ENCINITAS, CA  92024-5820",6261019.797,1936914.786,Pizzicato Gourmet Pizza
1151,ACTIVE,48,2000-04-21T,"929 BROADWAY, SAN DIEGO, CA  92101",6283027.611,1841309.91425,Chee Chee Club
