OGC_FID,status,licensetype,issuedate,premisesaddress,x,y,business
2941,ACTIVE,20,2008-09-22T,"450 W EL NORTE PKWY, ESCONDIDO, CA  92026-1927",6319143.257,1999461.607,El Norte Arco
2942,ACTIVE,41,2008-10-22T,"1550 E H ST, STE E, CHULA VISTA, CA  91913-2003",6332190.56051,1815316.23749,Wingstop
2943,ACTIVE,20,2008-09-23T,"4925 SPRING ST, LA MESA, CA  91941-5066",6324354.84504,1860303.65681,Spring Street Gas & Mini Market
2944,ACTIVE,20,2008-09-30T,"8820 CLAIREMONT MESA BLVD, SAN DIEGO, CA  92123-1102",6288933.89587,1883608.68519,Clairemont Mesa Gas & Mini Market
2945,ACTIVE,41,2009-09-15T,"555 N TULIP ST, ESCONDIDO, CA  92025-2532",6301959.78834,1988358.35792,Ljm Ventures Llc
2946,ACTIVE,21,2008-11-10T,"9361 MISSION GORGE RD, SANTEE, CA  92071",6332728.98561,1885511.05145,Sprouts Farmers Markets
2947,ACTIVE,21,2008-09-18T,"3605 UNIVERSITY AVE, SAN DIEGO, CA  92104-2316",6295595.12757,1853588.87848,Coreys Liquor
2948,ACTIVE,47,2009-01-07T,"1730 E PALOMAR ST, CHULA VISTA, CA  91913-1717",6335274.972,1810519.324,Valentinos Lounge & Grill
2949,ACTIVE,47,2008-10-16T,"495 LAUREL ST, SAN DIEGO, CA  92101-1632",6281586.28013,1847323.51852,Hexagone
2950,ACTIVE,20,2008-09-23T,"1879 PALM AVE, SAN DIEGO, CA  92154-1152",6304057.85736,1824866.82116,Farm Fresh Market
2951,ACTIVE,20,2008-11-19T,"1240 BROADWAY, CHULA VISTA, CA  91911-2911",6305886.70249,1800760.51776,Target T0203
2952,ACTIVE,48,2008-09-23T,"3609-15 EL CAJON BLVD, SAN DIEGO, CA  92104-1514",6300177.828,1855588.479,Soda Bar & Lounge
2953,ACTIVE,64,2009-04-14T,"4545 PARK BLVD, STE 101, SAN DIEGO, CA  92116-2668",6286240.59043,1857473.36625,Diversionary Theatre
2954,ACTIVE,41,1994-01-01T,"193 BROADWAY, CHULA VISTA, CA  91910-2247",6302080.84384,1814480.26955,El Camaron
2955,ACTIVE,41,2009-02-13T,"9254 SCRANTON RD, STE 101, SAN DIEGO, CA  92121-7712",6269560.63735,1905263.92899,Opera Patisserie
2956,ACTIVE,47,2008-10-03T,"9200 INWOOD DR, SANTEE, CA  92071-2310",6328609.204,1887511.183,Oaks Bar & Grill
2957,SUREND,47,2010-02-10T,"3955 5TH AVE, STE 100, SAN DIEGO, CA  92103-3191",6304467.834,1985558.905,Pizza Nova
2958,ACTIVE,20,2008-10-28T,"1403 S SANTA FE AVE, VISTA, CA  92083-7233",6264078.08031,2012292.22222,Santa Fe Petroleum Inc
2959,ACTIVE,47,2009-03-27T,"3201-3205 ADAMS AVE, SAN DIEGO, CA  92116-1645",6291989.268,1858590.079,El Zarape Restaurant
2960,ACTIVE,20,2008-11-07T,"3245 SPORTS ARENA BLVD, SAN DIEGO, CA  92110-4529",6266705.56267,1854823.01839,Target T0201
2961,ACTIVE,20,2008-09-24T,"12610 SABRE SPRINGS PKWY, SAN DIEGO, CA  92128-4112",6302036.46748,1925838.23812,Sabre Springs Arco Am Pm
2962,ACTIVE,20,2008-10-27T,"26915 MESA ROCK RD, ESCONDIDO, CA  92026-7848",6292981.59416,2016991.42642,Mesa Rock Arco
2963,ACTIVE,21,2008-10-01T,"600 F ST, STE A & B, CHULA VISTA, CA  91910-3338",6302067.08205,1812707.02469,Bobar Market & Gas 8
2964,ACTIVE,21,2008-09-23T,"178 ORANGE AVE, CORONADO, CA  92118-1409",6277563.18006,1834893.87795,Central Liquor
2965,SUREND,20,2008-11-24T,"1280 AUTO PARK WAY, ESCONDIDO, CA  92029-2231",6302083.30855,1984210.48884,Target T0274
2966,ACTIVE,20,2008-09-29T,"1991 PALOMAR AIRPORT RD, CARLSBAD, CA  92011-1305",6245671.02695,1988517.29187,Palomar Airport Arco
2967,ACTIVE,20,2008-09-30T,"9720 CARROLL CENTRE RD, SAN DIEGO, CA  92126-4551",6293868.79176,1908168.65438,Carroll Centre Arco
2968,ACTIVE,41,2008-11-17T,"7149 EL CAJON BLVD, SAN DIEGO, CA  92115-1828",6317768.38797,1860302.85707,Copa Cabana Bar & Grill
2969,ACTIVE,41,2008-11-05T,"509 TELEGRAPH CYN, STE A, CHULA VISTA, CA  91910-6436",6318613.90105,1809617.00284,Meis Sushi House
2970,ACTIVE,47,1994-01-01T,"793 J ST, SAN DIEGO, CA  92101",6282360.43704,1839194.84006,Proper Gastro Pub
2971,ACTIVE,21,2009-05-19T,"691 THIRD AVE, CHULA VISTA, CA  91910",-1,-1,Fresh & Easy Neighborhood Market Store 1275
2972,ACTIVE,41,2008-10-27T,"6366 EL CAJON BLVD, SAN DIEGO, CA  92115-2643",6312230.7205,1859064.72022,Best Thai Food
2973,ACTIVE,41,2008-10-16T,"1018 ROSECRANS ST, SAN DIEGO, CA  92106-3019",6259362.00477,1843446.48796,Living Room Coffeehouse The
2974,ACTIVE,41,2009-01-13T,"7250 CONVOY CT, STE B, SAN DIEGO, CA  92111-1027",6281513.123,1884938.67165,Mr Dumpling Restaurant
